home_lat,home_lon,n_maids
-7.7575,110.3975,562
-7.7525,110.3725,288
-7.7625,110.4125,232
-7.7625,110.3975,171
-7.7575,110.3825,168
-7.7575,110.3925,167
-7.7525,110.3625,163
-7.7575,110.4025,142
-7.7475,110.3625,137
-7.7525,110.3825,105
-7.7625,110.3925,96
-7.7625,110.3625,93
-7.7475,110.3725,83
-7.7575,110.3875,81
-7.7625,110.4175,64
-7.7625,110.4325,61
-7.7625,110.3775,56
-7.7575,110.3625,49
-7.7475,110.3875,48
-7.7675,110.4125,48
-7.7425,110.3725,45
-7.7675,110.4325,45
-7.7675,110.3775,44
-7.7625,110.3675,43
-7.7525,110.4075,42
-7.7525,110.3975,41
-7.7625,110.4225,41
-7.7625,110.4075,40
-7.7475,110.3825,39
-7.7425,110.3475,38
-7.7475,110.3975,36
-7.7425,110.3625,35
-7.7625,110.3825,34
-7.7525,110.4225,34
-7.7575,110.3725,34
-7.7525,110.3675,32
-7.7525,110.3775,32
-7.7475,110.3575,32
-7.7575,110.4075,31
-7.7475,110.4175,30
-7.7575,110.4125,29
-7.7675,110.4075,29
-7.7625,110.3725,28
-7.7475,110.3675,28
-7.7425,110.3875,28
-7.7575,110.3775,27
-7.7625,110.3875,26
-7.7675,110.3675,25
-7.7525,110.3875,25
-7.7625,110.4025,25
-7.7525,110.4025,23
-7.7675,110.4025,23
-7.7675,110.3925,23
-7.7425,110.3525,22
-7.7475,110.3775,22
-7.7475,110.4125,21
-7.7675,110.3625,20
-7.7425,110.3575,20
-7.7575,110.3675,20
-7.7425,110.3925,20
-7.7625,110.4275,19
-7.7475,110.3525,18
-7.7675,110.3825,17
-7.7675,110.4225,16
-7.7525,110.4275,16
-7.7425,110.3675,16
-7.7425,110.3975,14
-7.7425,110.4175,14
-7.7475,110.3925,13
-7.7675,110.4275,13
-7.7425,110.4325,12
-7.7625,110.3475,12
-7.7675,110.3425,12
-7.7475,110.4025,12
-7.7625,110.3425,12
-7.7675,110.3875,11
-7.7425,110.4225,11
-7.7575,110.4175,10
-7.7575,110.4225,9
-7.7675,110.3725,9
-7.7675,110.3525,8
-7.7425,110.4025,8
-7.7525,110.4175,8
-7.7475,110.3425,8
-7.7675,110.3975,8
-7.7525,110.3475,7
-7.7675,110.4175,7
-7.7575,110.3475,7
-7.7425,110.4125,7
-7.7525,110.4125,7
-7.7575,110.4325,7
-7.7475,110.4075,6
-7.7575,110.4275,6
-7.7525,110.3925,6
-7.7425,110.3775,6
-7.7575,110.3425,6
-7.7475,110.3475,6
-7.7425,110.4075,6
-7.7475,110.4275,6
-7.7425,110.3425,5
-7.7625,110.3525,4
-7.7675,110.3575,3
-7.7675,110.3475,3
-7.7525,110.3525,3
-7.7425,110.3825,3
-7.7525,110.3425,3
-7.7475,110.4225,2
-7.7525,110.4325,2
-7.7575,110.3575,2
-7.7525,110.3575,2
-7.7575,110.3525,1
