home_lat,home_lon,n_maids
-7.7475,110.3625,193
-7.7525,110.3725,185
-7.7525,110.3625,185
-7.7575,110.3975,176
-7.7625,110.4125,89
-7.7625,110.3625,86
-7.7575,110.3825,85
-7.7625,110.3975,68
-7.7525,110.3825,66
-7.7575,110.4025,63
-7.7475,110.3725,61
-7.7575,110.3925,53
-7.7575,110.3625,47
-7.7475,110.3575,46
-7.7425,110.3475,44
-7.7625,110.3775,42
-7.7625,110.3925,38
-7.7425,110.3725,36
-7.7625,110.3675,34
-7.7575,110.3875,34
-7.7475,110.3875,26
-7.7475,110.3675,24
-7.7625,110.3825,24
-7.7625,110.4325,24
-7.7675,110.3775,24
-7.7525,110.3675,24
-7.7425,110.3625,23
-7.7425,110.3575,23
-7.7475,110.3525,22
-7.7625,110.4175,22
-7.7675,110.3625,21
-7.7525,110.3875,20
-7.7675,110.3675,20
-7.7575,110.3675,20
-7.7575,110.3725,19
-7.7625,110.3475,19
-7.7525,110.4025,19
-7.7425,110.3875,19
-7.7475,110.3825,19
-7.7425,110.3525,18
-7.7675,110.4125,17
-7.7675,110.4325,17
-7.7525,110.3975,17
-7.7475,110.3975,16
-7.7625,110.3725,15
-7.7675,110.4025,15
-7.7575,110.3775,14
-7.7475,110.4175,14
-7.7475,110.3475,14
-7.7625,110.3875,14
-7.7625,110.4075,14
-7.7425,110.3925,13
-7.7675,110.3425,13
-7.7475,110.3925,12
-7.7625,110.4225,12
-7.7475,110.3775,11
-7.7625,110.4025,11
-7.7525,110.3775,11
-7.7625,110.3425,11
-7.7575,110.4075,10
-7.7575,110.3425,10
-7.7525,110.4075,10
-7.7675,110.3925,10
-7.7475,110.3425,10
-7.7525,110.3425,9
-7.7525,110.4225,9
-7.7475,110.4125,9
-7.7675,110.4075,9
-7.7425,110.3675,9
-7.7675,110.3725,9
-7.7575,110.4125,8
-7.7675,110.3825,8
-7.7675,110.3875,8
-7.7575,110.3475,7
-7.7625,110.4275,7
-7.7675,110.4275,7
-7.7675,110.3525,7
-7.7475,110.4025,7
-7.7675,110.3475,6
-7.7625,110.3525,6
-7.7425,110.4025,6
-7.7425,110.4325,6
-7.7475,110.4275,6
-7.7625,110.3575,6
-7.7425,110.4225,6
-7.7425,110.3975,5
-7.7575,110.4275,5
-7.7525,110.3475,4
-7.7575,110.4325,4
-7.7525,110.4275,4
-7.7425,110.3825,4
-7.7525,110.3575,4
-7.7575,110.4175,3
-7.7675,110.4225,3
-7.7425,110.4175,3
-7.7425,110.3775,3
-7.7525,110.3525,3
-7.7675,110.3575,3
-7.7425,110.3425,3
-7.7425,110.4125,3
-7.7575,110.3575,3
-7.7475,110.4075,3
-7.7575,110.4225,3
-7.7525,110.4125,2
-7.7675,110.3975,2
-7.7525,110.3925,2
-7.7425,110.4075,2
-7.7525,110.4175,2
-7.7675,110.4175,2
-7.7525,110.4325,2
-7.7475,110.4225,2
