home_lat,home_lon,n_maids
-7.7575,110.3975,271
-7.7525,110.3725,227
-7.7575,110.3825,173
-7.7525,110.3825,144
-7.7625,110.4125,137
-7.7525,110.3625,130
-7.7625,110.3975,113
-7.7475,110.3625,112
-7.7575,110.3925,88
-7.7575,110.4025,80
-7.7475,110.3725,77
-7.7575,110.3875,69
-7.7625,110.3625,64
-7.7625,110.3925,64
-7.7625,110.3775,54
-7.7575,110.3625,48
-7.7625,110.3825,46
-7.7625,110.4175,44
-7.7475,110.3875,41
-7.7625,110.3675,38
-7.7425,110.3725,38
-7.7475,110.3825,35
-7.7625,110.4325,32
-7.7625,110.3875,32
-7.7525,110.3775,31
-7.7525,110.3875,30
-7.7575,110.3725,30
-7.7675,110.3775,29
-7.7675,110.4125,28
-7.7475,110.3575,28
-7.7425,110.3625,28
-7.7525,110.4075,27
-7.7475,110.3675,26
-7.7425,110.3475,25
-7.7425,110.3875,25
-7.7475,110.3975,24
-7.7525,110.3975,23
-7.7425,110.3925,23
-7.7675,110.3675,22
-7.7625,110.4225,22
-7.7475,110.3775,21
-7.7625,110.4025,20
-7.7675,110.3925,20
-7.7675,110.4325,20
-7.7675,110.4075,20
-7.7525,110.3675,20
-7.7575,110.3775,20
-7.7525,110.4025,19
-7.7625,110.3725,18
-7.7575,110.4075,18
-7.7475,110.4125,17
-7.7625,110.4075,17
-7.7475,110.3925,16
-7.7575,110.3675,16
-7.7675,110.4025,16
-7.7675,110.3625,16
-7.7475,110.4175,15
-7.7425,110.3575,15
-7.7525,110.4225,15
-7.7575,110.4125,12
-7.7675,110.4275,12
-7.7675,110.3825,11
-7.7625,110.4275,11
-7.7475,110.3525,10
-7.7425,110.3525,10
-7.7425,110.4325,10
-7.7675,110.3725,10
-7.7425,110.3975,10
-7.7425,110.3675,9
-7.7675,110.4225,9
-7.7625,110.3425,9
-7.7575,110.4225,9
-7.7475,110.3475,9
-7.7625,110.3475,9
-7.7575,110.4175,8
-7.7475,110.4025,8
-7.7475,110.4075,7
-7.7675,110.3875,6
-7.7425,110.3825,6
-7.7675,110.3425,6
-7.7425,110.4225,6
-7.7425,110.4175,6
-7.7475,110.3425,5
-7.7575,110.3425,5
-7.7525,110.4125,5
-7.7525,110.4175,5
-7.7625,110.3525,5
-7.7475,110.4275,5
-7.7675,110.3975,5
-7.7575,110.4275,4
-7.7525,110.3925,4
-7.7675,110.3525,4
-7.7425,110.4025,4
-7.7675,110.3575,4
-7.7575,110.4325,4
-7.7525,110.4275,4
-7.7425,110.3425,3
-7.7425,110.4075,3
-7.7425,110.3775,3
-7.7675,110.4175,3
-7.7525,110.3425,3
-7.7675,110.3475,3
-7.7525,110.4325,3
-7.7475,110.4225,2
-7.7525,110.3525,2
-7.7425,110.4125,2
-7.7525,110.3475,2
-7.7625,110.3575,2
-7.7575,110.3475,2
-7.7575,110.3575,1
