home_lat,home_lon,n_maids
-7.7575,110.3975,144
-7.7525,110.3725,132
-7.7475,110.3625,111
-7.7525,110.3625,103
-7.7425,110.3475,87
-7.7625,110.4125,77
-7.7625,110.3975,58
-7.7525,110.3825,56
-7.7575,110.3825,53
-7.7575,110.4025,52
-7.7575,110.3925,41
-7.7575,110.3625,39
-7.7625,110.3625,38
-7.7475,110.3575,38
-7.7625,110.3925,35
-7.7475,110.3725,34
-7.7475,110.3525,29
-7.7525,110.3675,28
-7.7575,110.3875,28
-7.7625,110.3775,26
-7.7425,110.3525,26
-7.7425,110.3725,25
-7.7425,110.3625,21
-7.7475,110.3975,20
-7.7625,110.3725,20
-7.7475,110.3875,19
-7.7625,110.3675,19
-7.7625,110.3825,18
-7.7575,110.3675,18
-7.7625,110.4175,17
-7.7575,110.3725,17
-7.7625,110.3475,17
-7.7675,110.3625,17
-7.7425,110.3875,17
-7.7475,110.3475,16
-7.7675,110.4325,16
-7.7675,110.3775,16
-7.7525,110.4075,16
-7.7525,110.3875,15
-7.7475,110.3425,15
-7.7475,110.3825,14
-7.7475,110.3775,14
-7.7675,110.3925,13
-7.7625,110.4325,13
-7.7625,110.4075,13
-7.7425,110.3575,12
-7.7475,110.4125,12
-7.7675,110.3675,12
-7.7525,110.3975,12
-7.7675,110.4025,12
-7.7475,110.3925,11
-7.7525,110.3775,11
-7.7675,110.3425,10
-7.7525,110.4025,10
-7.7575,110.4075,10
-7.7625,110.3425,10
-7.7575,110.4125,10
-7.7475,110.4175,9
-7.7625,110.3875,9
-7.7675,110.4125,9
-7.7625,110.4225,9
-7.7575,110.3475,8
-7.7475,110.3675,8
-7.7525,110.4225,8
-7.7425,110.3925,8
-7.7525,110.3425,8
-7.7575,110.3425,8
-7.7625,110.4025,7
-7.7675,110.3725,7
-7.7625,110.4275,7
-7.7675,110.3825,7
-7.7425,110.4325,6
-7.7425,110.3675,6
-7.7675,110.4075,6
-7.7575,110.3775,6
-7.7475,110.4025,6
-7.7575,110.4175,6
-7.7425,110.3775,5
-7.7425,110.3425,5
-7.7425,110.4225,5
-7.7675,110.4275,5
-7.7525,110.3925,4
-7.7575,110.4225,4
-7.7475,110.4275,4
-7.7575,110.4325,4
-7.7525,110.3475,4
-7.7475,110.4075,4
-7.7675,110.3525,4
-7.7425,110.3975,3
-7.7675,110.3975,3
-7.7525,110.4125,3
-7.7575,110.4275,3
-7.7425,110.4025,3
-7.7425,110.3825,2
-7.7675,110.3475,2
-7.7625,110.3525,2
-7.7675,110.4175,2
-7.7425,110.4175,2
-7.7525,110.4275,2
-7.7675,110.3575,2
-7.7675,110.3875,2
-7.7575,110.3575,2
-7.7425,110.4125,1
-7.7625,110.3575,1
-7.7525,110.4175,1
-7.7525,110.4325,1
-7.7475,110.4225,1
