home_lat,home_lon,n_maids
-7.7525,110.3725,497
-7.7575,110.3975,372
-7.7525,110.3625,210
-7.7625,110.4125,195
-7.7475,110.3625,174
-7.7625,110.3975,161
-7.7575,110.3825,147
-7.7525,110.3825,120
-7.7575,110.3925,110
-7.7625,110.3625,103
-7.7575,110.4025,100
-7.7475,110.3725,100
-7.7625,110.3925,79
-7.7575,110.3875,75
-7.7575,110.3625,64
-7.7625,110.3775,61
-7.7525,110.3675,61
-7.7625,110.4175,56
-7.7425,110.3725,54
-7.7625,110.3675,54
-7.7425,110.3475,48
-7.7625,110.3825,47
-7.7675,110.4325,46
-7.7475,110.3575,46
-7.7625,110.4325,46
-7.7475,110.3875,44
-7.7525,110.3775,42
-7.7675,110.3775,41
-7.7525,110.4075,38
-7.7625,110.4225,36
-7.7475,110.3975,36
-7.7675,110.4125,36
-7.7475,110.3825,34
-7.7475,110.3675,34
-7.7425,110.3625,34
-7.7425,110.3575,32
-7.7575,110.3725,32
-7.7425,110.3875,31
-7.7475,110.3525,30
-7.7525,110.3975,29
-7.7675,110.3675,29
-7.7575,110.3775,27
-7.7675,110.3625,27
-7.7625,110.3875,27
-7.7625,110.4075,27
-7.7425,110.3525,26
-7.7475,110.4175,25
-7.7525,110.3875,25
-7.7575,110.3675,25
-7.7625,110.3725,25
-7.7675,110.4025,24
-7.7675,110.3925,24
-7.7675,110.4075,23
-7.7425,110.3925,22
-7.7575,110.4125,21
-7.7475,110.4125,21
-7.7525,110.4225,20
-7.7525,110.4025,20
-7.7625,110.3475,20
-7.7475,110.3775,19
-7.7575,110.4075,19
-7.7475,110.3475,18
-7.7625,110.4025,18
-7.7675,110.4225,15
-7.7475,110.3925,15
-7.7675,110.3425,14
-7.7675,110.4275,14
-7.7675,110.3875,14
-7.7425,110.3975,14
-7.7625,110.3425,13
-7.7675,110.3825,12
-7.7675,110.3525,12
-7.7425,110.3775,12
-7.7625,110.4275,12
-7.7425,110.4225,11
-7.7675,110.3725,11
-7.7425,110.3675,11
-7.7475,110.4025,11
-7.7575,110.3475,9
-7.7425,110.4325,9
-7.7575,110.3425,9
-7.7575,110.4225,8
-7.7475,110.3425,8
-7.7525,110.3425,8
-7.7525,110.3475,7
-7.7675,110.3975,7
-7.7575,110.4275,7
-7.7575,110.4175,6
-7.7525,110.4125,6
-7.7425,110.3825,6
-7.7425,110.4175,6
-7.7425,110.4025,6
-7.7525,110.4275,5
-7.7475,110.4275,5
-7.7625,110.3525,5
-7.7425,110.4075,5
-7.7425,110.4125,5
-7.7475,110.4075,5
-7.7425,110.3425,5
-7.7525,110.4175,5
-7.7675,110.3575,5
-7.7525,110.3525,5
-7.7575,110.4325,4
-7.7625,110.3575,3
-7.7675,110.3475,3
-7.7475,110.4225,3
-7.7575,110.3575,3
-7.7675,110.4175,3
-7.7525,110.4325,2
-7.7575,110.3525,1
-7.7525,110.3925,1
-7.7525,110.3575,1
