home_lat,home_lon,n_maids
-7.7625,110.4125,361
-7.7575,110.3975,352
-7.7525,110.3725,170
-7.7575,110.3825,126
-7.7625,110.3975,121
-7.7575,110.4025,111
-7.7575,110.3925,107
-7.7525,110.3625,103
-7.7475,110.3625,97
-7.7525,110.3825,71
-7.7575,110.3875,69
-7.7625,110.4325,69
-7.7625,110.3925,65
-7.7625,110.3625,63
-7.7625,110.4175,60
-7.7625,110.4225,56
-7.7675,110.4325,56
-7.7475,110.3725,55
-7.7675,110.4125,47
-7.7525,110.4225,44
-7.7625,110.4075,40
-7.7625,110.3675,40
-7.7575,110.3625,36
-7.7625,110.3775,36
-7.7575,110.4125,35
-7.7425,110.3725,34
-7.7675,110.3775,34
-7.7475,110.4175,33
-7.7525,110.3975,32
-7.7575,110.4075,28
-7.7525,110.4075,27
-7.7475,110.3575,27
-7.7425,110.3475,27
-7.7425,110.3625,26
-7.7625,110.3725,26
-7.7425,110.3875,22
-7.7475,110.3875,22
-7.7625,110.4275,21
-7.7525,110.3675,20
-7.7525,110.4025,20
-7.7475,110.3825,20
-7.7675,110.4075,20
-7.7525,110.4275,20
-7.7675,110.3675,19
-7.7675,110.4275,19
-7.7475,110.3975,19
-7.7525,110.3775,19
-7.7675,110.3625,19
-7.7625,110.3825,19
-7.7625,110.4025,19
-7.7625,110.3875,18
-7.7675,110.4225,18
-7.7675,110.4025,18
-7.7425,110.4175,17
-7.7575,110.3675,16
-7.7525,110.3875,16
-7.7575,110.3775,16
-7.7425,110.3925,16
-7.7575,110.4225,16
-7.7675,110.3925,16
-7.7475,110.3675,15
-7.7425,110.3525,15
-7.7475,110.4025,15
-7.7575,110.4175,14
-7.7425,110.4325,14
-7.7475,110.3925,14
-7.7475,110.3775,14
-7.7575,110.3725,14
-7.7475,110.4125,14
-7.7675,110.3825,14
-7.7425,110.3975,13
-7.7625,110.3425,13
-7.7625,110.3475,13
-7.7575,110.4275,12
-7.7425,110.4225,12
-7.7475,110.3525,11
-7.7425,110.3575,11
-7.7575,110.4325,11
-7.7525,110.4175,10
-7.7675,110.3725,10
-7.7425,110.4025,10
-7.7425,110.3675,9
-7.7425,110.4125,8
-7.7675,110.3425,8
-7.7475,110.4225,7
-7.7525,110.3925,7
-7.7675,110.3875,7
-7.7475,110.3475,7
-7.7525,110.4125,6
-7.7475,110.4075,5
-7.7575,110.3425,5
-7.7475,110.3425,5
-7.7575,110.3475,4
-7.7525,110.4325,4
-7.7675,110.3525,4
-7.7425,110.4075,4
-7.7675,110.3975,4
-7.7525,110.3475,3
-7.7425,110.3775,3
-7.7525,110.3525,3
-7.7525,110.3575,3
-7.7675,110.4175,3
-7.7475,110.4275,3
-7.7425,110.3425,3
-7.7675,110.3575,2
-7.7575,110.3575,2
-7.7425,110.3825,2
-7.7575,110.3525,1
-7.7625,110.3525,1
-7.7625,110.3575,1
-7.7525,110.3425,1
-7.7675,110.3475,1
