maid,home_lat,home_lon,n_night_pings,n_total_pings
00071ae2-d9dc-4e14-b3fc-9f8a818ee767,-7.7625,110.4225,275,1250
000cad5f-ad5f-f60f-b607-a46c14402444,-7.7525,110.3875,2,20
001247c7-ff4b-450a-b1a6-27052d52f28c,-7.7625,110.4125,3,13
001f2440-2440-a804-75c0-91bc88d67ae3,-7.7675,110.4075,252,1541
0020333c-333c-dae4-a737-c95e5a8e863d,-7.7525,110.3975,27,241
00293ffb-3ffb-3c83-08c3-63c93c5d4b2a,-7.7525,110.3625,64,221
002b7fd1-7fd1-fede-1a09-897333934ba4,-7.7525,110.3775,260,1227
0034d628-cf3e-46a7-8b14-4f777bc35154,-7.7625,110.4175,182,564
003bb2b3-e610-43a5-9710-a01a4f8d7e5c,-7.7525,110.3725,41,1423
005649a3-14b2-4f61-ba1f-2df3449f523a,-7.7525,110.3825,1,52
005ce665-e665-2661-c318-6e67b94aab45,-7.7425,110.3575,2,5
0060bcb7-e33f-4b62-a401-dcaec00c3b3f,-7.7625,110.3975,11,65
007b0e18-ae86-4044-a0b3-c29bffb18d00,-7.7425,110.3725,2,63
009ef4fb-b7b8-4229-2341-199367dee70f,-7.7575,110.3975,15,59
00a4dae2-dae2-4038-e279-01eaf4addf9a,-7.7575,110.3925,10,51
00a603a8-03a8-8a74-4b2b-4c395e5f4afe,-7.7525,110.4225,20,127
00b6354e-354e-9ae8-9e56-8e1732f58172,-7.7675,110.3675,1,189
00b70539-0539-e64e-fd84-e5c454430984,-7.7525,110.3725,1,79
00cba227-d6b8-4518-ab6c-8c3ac3ded8b7,-7.7525,110.3625,116,799
01112e45-2e45-bccf-bdbe-07d1212d9857,-7.7475,110.3625,69,189
014413b7-a829-401f-82d5-c06e8e016131,-7.7525,110.3725,177,1159
01448392-a16b-487b-b95a-2961c64ed6a2,-7.7475,110.3675,163,1042
0145e3e9-5f58-49fd-bee3-e130139923c0,-7.7575,110.3925,282,1018
0177d861-fc6d-4a3b-8c78-14a92637a5b2,-7.7425,110.4075,6,35
017dcc23-cc23-0aa6-64b1-d2381de0a1e1,-7.7625,110.4125,210,698
018c481e-11ef-4766-8b66-1aa7449fdb22,-7.7575,110.3475,708,3380
01961d3c-2d7b-4ccc-81a0-342b878b9220,-7.7575,110.3975,1,1
0196522d-522d-71da-e1db-2b5f545cf77f,-7.7625,110.4275,51,490
01a9f191-f191-1a3b-ce7b-7bc71c88a9c0,-7.7425,110.3925,2,65
01b29cfb-8287-4878-a654-e7cfd11fdbe5,-7.7625,110.3625,7,30
01c25b5e-5b5e-7318-1064-bffe18499383,-7.7425,110.3925,166,776
01e65c06-5c06-5d13-9741-c9b0d24c1c89,-7.7575,110.3825,12,12
01edd3c1-d3c1-ef6d-e0b7-2b0ec287b5cd,-7.7675,110.3425,3,12
0207aca2-397e-4798-aa7a-b502ea69a483,-7.7625,110.3425,17,451
02273425-610e-40fe-8a7d-64e82d54aa5b,-7.7475,110.3725,2,37
0229bf09-bf09-d92d-28e3-705080b8eedd,-7.7475,110.3625,13,13
025509a7-a27d-4770-a34d-b7db0cbd410a,-7.7625,110.4025,31,413
0255d094-d094-9476-0581-b05dabe7c484,-7.7625,110.4175,139,458
02588800-1a97-487d-8b62-8ff4b58bc86d,-7.7525,110.3825,1740,12764
027cc6bd-c6bd-4253-9931-6eb7ae687621,-7.7575,110.4025,1,30
028de778-c3b6-4993-9f4c-339b33be244b,-7.7625,110.3625,313,662
028f2156-2156-894a-fac3-d04007bf8f3f,-7.7675,110.4075,65,254
0293bb95-c488-4bf4-823a-5ca47d7b4ec0,-7.7675,110.4125,11,41
029ba217-75d7-4367-b03a-86138ae8c8cc,-7.7575,110.3875,31,113
02ad47f8-998c-407e-a975-527291cc1d30,-7.7625,110.4125,1,13
02fdd6c5-466b-4e24-9d40-600633149fcd,-7.7625,110.3625,3,47
030accac-64b0-4071-964d-1a8828724a59,-7.7625,110.3975,8,28
0318f820-c215-427f-bf42-b0722c9bbd00,-7.7575,110.3925,42,687
03322f3f-2f3f-9ae6-0e13-e9ac0d96752b,-7.7525,110.4025,26,310
033bb3f6-e51c-4617-960e-20392a7b12c9,-7.7525,110.3775,1,9
033d4b9f-4b9f-cd6f-3403-0c52a8b40922,-7.7425,110.4125,27,296
033d6cb5-6cb5-9f99-e976-e13da849849a,-7.7525,110.3725,1,12
034346c4-46c4-65e0-699a-9470597b00bc,-7.7625,110.4125,21,123
036152dd-52dd-57fd-b643-bb7f6d0228dd,-7.7575,110.3775,6,10
03621a34-f8d9-4a55-94e3-2f40ca4ff752,-7.7525,110.4025,125,417
03830994-e349-426f-8c20-54d6756236e4,-7.7675,110.4325,2,14
038ec5ad-c5ad-c399-ec0f-392379dee733,-7.7575,110.3825,15,154
03986307-6307-9edd-3377-689657c5abb3,-7.7625,110.3575,5524,17013
039960fd-6097-480d-9a03-2c448460c6a9,-7.7625,110.4125,2,5
03a436ef-36ef-a57a-ff23-4ec60b87b283,-7.7475,110.3725,65,467
03adaecf-6b0f-4e82-ba7b-a4611af9f801,-7.7675,110.3825,3,23
03b954de-a549-477e-9c64-2986f539dce7,-7.7475,110.3725,43,199
03d0bd16-04b9-48ea-8c2c-84d9f927cc2b,-7.7525,110.3725,8,41
03d29f0a-7911-405e-9466-4c7aaecfe097,-7.7425,110.4025,272,1011
03eff195-f195-f3aa-d1d9-4e7dd4fa294b,-7.7575,110.4125,30,149
041862de-8bf1-4d1e-b620-b1660daecbd5,-7.7525,110.3625,9,9
041c9b55-7dac-416b-a03d-6ca3c9ff8f9a,-7.7475,110.4125,8,724
0437170c-170c-bb9f-e953-2d8f46f334e1,-7.7475,110.3725,29,235
04388e01-69e1-4122-be87-d5274fc8256c,-7.7575,110.3625,83,90
04396767-774e-49df-b62c-131b40d58e5a,-7.7625,110.4275,147,287
0440ade4-011a-4bc8-9c6d-4b9e75ca61b0,-7.7575,110.3975,82,376
044c694a-a3d2-427c-8da0-5499f86deb82,-7.7525,110.3775,1,6
0462a8a3-79d4-4d2c-8334-b28dfcaa8ac9,-7.7675,110.4325,10,21
04719daa-7681-4ae0-b081-618c05484ecc,-7.7425,110.3925,483,1467
04901b7e-d461-4346-9658-4b49246ff9a5,-7.7475,110.4125,49,379
04a232e1-cf84-4af4-bd73-bedf4cad5a6c,-7.7475,110.4275,225,538
04a7e87e-a00e-479b-b1d6-efca997b841f,-7.7575,110.3975,18,47
04aea64a-a64a-709f-b523-e55171a36849,-7.7575,110.3975,6,13
04cf45a2-45a2-3fb1-8cc5-c4f04e5d4e49,-7.7525,110.3625,23,36
04cf4645-4645-a08b-ce47-e55c41b5a42e,-7.7575,110.3625,2,5
04d95072-d64f-498f-b083-922906f91580,-7.7625,110.3975,71,295
04f0bfea-1c50-4913-b5fe-962e9216b65e,-7.7475,110.3675,6,49
052d5ed1-f931-4a92-a5a1-05c26adfefc6,-7.7575,110.3825,3,17
053ec01e-3d00-427f-9e1b-13d3bad1f344,-7.7575,110.3825,1,5
0549a3ad-498b-4010-b90b-a3d67889a0d4,-7.7575,110.3825,2,10
056afe94-5fda-4e2b-95d9-957d3fb88ae5,-7.7625,110.3975,64,133
058037f6-37f6-dbd1-d66b-aff963619a77,-7.7575,110.3875,42,81
058ce632-e632-5eab-b561-7cb070a9b4e4,-7.7625,110.3925,1,6
058d052a-052a-165f-1fe7-b5a36461dac4,-7.7475,110.3725,26,190
0599ace1-a255-408e-9275-b5cefa1a310f,-7.7575,110.4025,4,27
05b2624e-624e-d071-e5f6-9d3d01e51232,-7.7625,110.3975,4,20
05cde578-1fa0-4aba-beff-c80cc1add468,-7.7575,110.4025,3,179
05e79d61-9988-47af-8323-7d5b6145b9e9,-7.7475,110.3625,1,11
05f95f6c-5f6c-0131-cb99-507e19186b77,-7.7475,110.3925,166,666
0612404b-c582-45c8-866f-d26143100b55,-7.7575,110.4125,1,115
0619a0c6-be84-41f0-aa96-9645dacc1b23,-7.7575,110.3875,1,166
06299c9f-7053-4440-894a-5ab46681da2f,-7.7575,110.3975,11,13
06308eb8-31f5-4017-a3ea-5c6d1e57f4c6,-7.7575,110.3925,1,6
06383632-1047-4a67-a473-a81f23336821,-7.7675,110.3775,9,354
06441d9b-1d9b-2ca4-e054-4612c571a363,-7.7575,110.3675,50,232
064d7663-7663-e085-bb19-bf8f62afa239,-7.7675,110.3675,1,30
0650f7e3-f7e3-3062-aea3-a6a639ddd143,-7.7575,110.4025,2,4
06666aaa-6aaa-5863-0804-3e0221ba15ac,-7.7675,110.3875,29,197
068f37c9-37c9-7529-5a63-e03feea7dfbb,-7.7625,110.3875,142,443
0697b90a-afba-4bd4-8cea-09100a8992fc,-7.7475,110.3725,21,431
06a8e28c-7dfe-41bc-8163-e1674e042fa1,-7.7575,110.3825,1,4
06be582f-f229-4908-81fa-4dc83b7867b2,-7.7575,110.3625,2,30
