nearest_intersection,minute_15,avg_maids,total_maids,n_days
condongcatur,0,1.28,23,18
condongcatur,1,1.13,26,23
condongcatur,2,1.08,13,12
condongcatur,3,1.17,14,12
condongcatur,4,1.29,9,7
condongcatur,5,1.0,5,5
condongcatur,6,1.3,13,10
condongcatur,7,1.57,11,7
condongcatur,8,1.0,8,8
condongcatur,9,1.5,9,6
condongcatur,10,1.12,9,8
condongcatur,11,1.33,8,6
condongcatur,12,1.25,5,4
condongcatur,13,1.33,4,3
condongcatur,14,1.0,6,6
condongcatur,15,1.0,2,2
condongcatur,17,1.12,9,8
condongcatur,18,1.14,8,7
condongcatur,19,1.1,11,10
condongcatur,20,1.5,6,4
condongcatur,21,1.43,10,7
condongcatur,22,1.08,14,13
condongcatur,23,1.35,23,17
condongcatur,24,1.4,21,15
condongcatur,25,1.33,36,27
condongcatur,26,1.68,57,34
condongcatur,27,1.45,55,38
condongcatur,28,1.62,26,16
condongcatur,29,2.0,90,45
condongcatur,30,3.17,149,47
condongcatur,31,2.64,132,50
condongcatur,32,1.98,83,42
condongcatur,33,2.43,107,44
condongcatur,34,2.16,110,51
condongcatur,35,3.42,164,48
condongcatur,36,2.36,106,45
condongcatur,37,2.4,101,42
condongcatur,38,2.91,154,53
condongcatur,39,2.8,154,55
condongcatur,40,2.59,140,54
condongcatur,41,3.44,189,55
condongcatur,42,3.89,218,56
condongcatur,43,3.67,209,57
condongcatur,44,4.02,245,61
condongcatur,45,3.92,247,63
condongcatur,46,4.0,252,63
condongcatur,47,4.56,278,61
condongcatur,48,4.04,218,54
condongcatur,49,3.6,198,55
condongcatur,50,4.5,252,56
condongcatur,51,3.59,212,59
condongcatur,52,4.2,248,59
condongcatur,53,4.23,237,56
condongcatur,54,4.75,304,64
condongcatur,55,4.36,266,61
condongcatur,56,4.93,281,57
condongcatur,57,4.41,260,59
condongcatur,58,4.07,232,57
condongcatur,59,4.13,227,55
condongcatur,60,4.27,252,59
condongcatur,61,3.81,217,57
condongcatur,62,4.17,246,59
condongcatur,63,5.07,279,55
condongcatur,64,4.19,247,59
condongcatur,65,4.39,224,51
condongcatur,66,4.88,278,57
condongcatur,67,4.25,234,55
condongcatur,68,4.03,238,59
condongcatur,69,3.68,217,59
condongcatur,70,4.18,234,56
condongcatur,71,3.68,206,56
condongcatur,72,3.29,168,51
condongcatur,73,2.73,139,51
condongcatur,74,2.47,126,51
condongcatur,75,2.25,117,52
condongcatur,76,2.8,137,49
condongcatur,77,2.85,111,39
condongcatur,78,2.6,117,45
condongcatur,79,2.24,94,42
condongcatur,80,2.02,103,51
condongcatur,81,2.4,101,42
condongcatur,82,2.11,99,47
condongcatur,83,2.6,112,43
condongcatur,84,1.94,95,49
condongcatur,85,2.02,89,44
condongcatur,86,1.98,89,45
condongcatur,87,1.41,52,37
condongcatur,88,1.73,45,26
condongcatur,89,1.52,41,27
condongcatur,90,1.48,46,31
condongcatur,91,1.52,35,23
condongcatur,92,1.45,32,22
condongcatur,93,1.26,34,27
condongcatur,94,1.24,26,21
condongcatur,95,1.31,21,16
jombor,0,1.0,4,4
jombor,1,1.17,7,6
jombor,2,1.5,12,8
jombor,3,1.43,10,7
jombor,4,1.0,4,4
jombor,5,1.33,4,3
jombor,6,1.5,6,4
jombor,7,1.25,5,4
jombor,8,2.33,7,3
jombor,9,1.0,4,4
jombor,10,1.25,5,4
jombor,11,1.5,3,2
jombor,12,1.0,3,3
jombor,13,1.5,3,2
jombor,14,1.17,7,6
jombor,15,1.0,2,2
jombor,16,1.0,1,1
jombor,17,1.0,1,1
jombor,18,1.25,5,4
jombor,19,1.33,4,3
jombor,20,1.0,4,4
jombor,21,1.0,9,9
jombor,22,1.08,14,13
jombor,23,1.24,21,17
jombor,24,1.2,12,10
jombor,25,1.25,20,16
jombor,26,1.14,32,28
jombor,27,1.25,25,20
jombor,28,1.2,6,5
jombor,29,1.88,45,24
jombor,30,1.67,60,36
jombor,31,1.65,38,23
jombor,32,1.74,61,35
jombor,33,1.75,42,24
jombor,34,1.91,61,32
jombor,35,2.03,69,34
jombor,36,1.72,62,36
jombor,37,1.78,71,40
jombor,38,1.69,66,39
jombor,39,1.95,80,41
jombor,40,1.76,79,45
jombor,41,1.98,79,40
jombor,42,2.16,106,49
jombor,43,2.52,116,46
jombor,44,2.07,95,46
jombor,45,2.41,111,46
jombor,46,2.6,122,47
jombor,47,2.21,95,43
jombor,48,2.75,110,40
jombor,49,2.38,93,39
jombor,50,2.18,109,50
jombor,51,2.61,115,44
jombor,52,2.43,102,42
jombor,53,3.18,140,44
jombor,54,2.5,135,54
jombor,55,2.73,123,45
jombor,56,2.53,124,49
jombor,57,2.41,111,46
