nearest_intersection,date_wib,n_maids,n_pings,dow,is_weekday,month
condongcatur,2021-10-23,1,1,5,false,2021-10
condongcatur,2021-10-24,1,1,6,false,2021-10
condongcatur,2021-10-25,1,1,0,true,2021-10
condongcatur,2021-10-26,2,2,1,true,2021-10
condongcatur,2021-10-28,7,19,3,true,2021-10
condongcatur,2021-10-29,7,49,4,true,2021-10
condongcatur,2021-10-30,2,10,5,false,2021-10
condongcatur,2021-10-31,2,6,6,false,2021-10
condongcatur,2021-11-01,4,12,0,true,2021-11
condongcatur,2021-11-02,3,20,1,true,2021-11
condongcatur,2021-11-03,2,14,2,true,2021-11
condongcatur,2021-11-04,2,11,3,true,2021-11
condongcatur,2021-11-05,4,31,4,true,2021-11
condongcatur,2021-11-06,5,15,5,false,2021-11
condongcatur,2021-11-07,4,10,6,false,2021-11
condongcatur,2021-11-08,5,17,0,true,2021-11
condongcatur,2021-11-09,1,4,1,true,2021-11
condongcatur,2021-11-10,1,4,2,true,2021-11
condongcatur,2021-11-11,4,17,3,true,2021-11
condongcatur,2021-11-13,4,13,5,false,2021-11
condongcatur,2021-11-14,1,4,6,false,2021-11
condongcatur,2021-11-15,4,15,0,true,2021-11
condongcatur,2021-11-16,4,11,1,true,2021-11
condongcatur,2021-11-17,6,96,2,true,2021-11
condongcatur,2021-11-18,5,24,3,true,2021-11
condongcatur,2021-11-19,5,14,4,true,2021-11
condongcatur,2021-11-20,6,33,5,false,2021-11
condongcatur,2021-11-21,5,30,6,false,2021-11
condongcatur,2021-11-22,4,22,0,true,2021-11
condongcatur,2021-11-23,3,10,1,true,2021-11
condongcatur,2021-11-24,4,13,2,true,2021-11
condongcatur,2021-11-25,3,5,3,true,2021-11
condongcatur,2021-11-26,6,30,4,true,2021-11
condongcatur,2021-11-27,5,20,5,false,2021-11
condongcatur,2021-11-28,2,8,6,false,2021-11
condongcatur,2021-11-29,2,10,0,true,2021-11
condongcatur,2021-11-30,3,11,1,true,2021-11
condongcatur,2021-12-01,2,9,2,true,2021-12
condongcatur,2021-12-03,1,3,4,true,2021-12
condongcatur,2021-12-06,2,6,0,true,2021-12
condongcatur,2021-12-08,2,4,2,true,2021-12
condongcatur,2021-12-09,2,4,3,true,2021-12
condongcatur,2021-12-10,2,7,4,true,2021-12
condongcatur,2021-12-11,2,13,5,false,2021-12
condongcatur,2021-12-12,2,7,6,false,2021-12
condongcatur,2021-12-13,1,2,0,true,2021-12
condongcatur,2021-12-14,2,4,1,true,2021-12
condongcatur,2021-12-15,3,10,2,true,2021-12
condongcatur,2021-12-16,1,4,3,true,2021-12
condongcatur,2021-12-17,2,11,4,true,2021-12
condongcatur,2021-12-18,2,17,5,false,2021-12
condongcatur,2021-12-19,3,12,6,false,2021-12
condongcatur,2021-12-20,2,6,0,true,2021-12
condongcatur,2021-12-21,2,4,1,true,2021-12
condongcatur,2021-12-22,3,8,2,true,2021-12
condongcatur,2021-12-23,2,5,3,true,2021-12
condongcatur,2021-12-24,3,11,4,true,2021-12
condongcatur,2021-12-25,3,24,5,false,2021-12
condongcatur,2021-12-26,2,6,6,false,2021-12
condongcatur,2021-12-27,3,8,0,true,2021-12
condongcatur,2021-12-28,4,13,1,true,2021-12
condongcatur,2021-12-29,2,4,2,true,2021-12
condongcatur,2021-12-30,2,6,3,true,2021-12
condongcatur,2021-12-31,2,8,4,true,2021-12
condongcatur,2022-01-01,1,2,5,false,2022-01
condongcatur,2022-01-02,1,2,6,false,2022-01
condongcatur,2022-01-03,1,2,0,true,2022-01
condongcatur,2022-01-04,3,6,1,true,2022-01
condongcatur,2022-01-05,2,6,2,true,2022-01
condongcatur,2022-01-06,4,19,3,true,2022-01
condongcatur,2022-01-07,5,19,4,true,2022-01
condongcatur,2022-01-08,4,26,5,false,2022-01
condongcatur,2022-01-09,2,4,6,false,2022-01
condongcatur,2022-01-10,4,12,0,true,2022-01
condongcatur,2022-01-11,5,14,1,true,2022-01
condongcatur,2022-01-12,6,21,2,true,2022-01
condongcatur,2022-01-13,2,15,3,true,2022-01
condongcatur,2022-01-14,2,10,4,true,2022-01
condongcatur,2022-01-15,6,36,5,false,2022-01
condongcatur,2022-01-16,2,4,6,false,2022-01
condongcatur,2022-01-17,2,10,0,true,2022-01
condongcatur,2022-01-18,3,10,1,true,2022-01
condongcatur,2022-01-19,63,114,2,true,2022-01
condongcatur,2022-01-20,104,234,3,true,2022-01
condongcatur,2022-01-21,115,238,4,true,2022-01
condongcatur,2022-01-22,90,179,5,false,2022-01
condongcatur,2022-01-23,68,144,6,false,2022-01
condongcatur,2022-01-24,86,156,0,true,2022-01
condongcatur,2022-01-25,93,167,1,true,2022-01
condongcatur,2022-01-26,94,193,2,true,2022-01
condongcatur,2022-01-27,89,160,3,true,2022-01
condongcatur,2022-01-28,109,217,4,true,2022-01
condongcatur,2022-01-29,134,229,5,false,2022-01
condongcatur,2022-01-30,143,296,6,false,2022-01
condongcatur,2022-01-31,121,235,0,true,2022-01
condongcatur,2022-02-01,159,397,1,true,2022-02
condongcatur,2022-02-02,144,331,2,true,2022-02
condongcatur,2022-02-03,117,315,3,true,2022-02
condongcatur,2022-02-04,159,409,4,true,2022-02
condongcatur,2022-02-05,166,450,5,false,2022-02
condongcatur,2022-02-06,252,551,6,false,2022-02
condongcatur,2022-02-07,225,617,0,true,2022-02
condongcatur,2022-02-08,215,460,1,true,2022-02
condongcatur,2022-02-09,205,431,2,true,2022-02
condongcatur,2022-02-10,158,322,3,true,2022-02
