nearest_intersection,hour_wib,avg_maids,avg_pings,total_maids,n_days
condongcatur,0,1.7,3.8,73,43
condongcatur,1,1.5,2.6,38,26
condongcatur,2,1.4,3.5,34,25
condongcatur,3,1.1,2.3,17,15
condongcatur,4,1.2,2.7,27,22
condongcatur,5,1.6,2.5,51,31
condongcatur,6,2.6,4.9,160,62
condongcatur,7,5.6,8.7,386,69
condongcatur,8,6.1,9.6,442,72
condongcatur,9,6.6,11.7,484,73
condongcatur,10,9.1,18.6,701,77
condongcatur,11,11.0,23.5,949,86
condongcatur,12,10.5,20.1,820,78
condongcatur,13,12.7,25.6,1007,79
condongcatur,14,12.9,26.4,951,74
condongcatur,15,12.3,27.3,925,75
condongcatur,16,13.0,27.9,920,71
condongcatur,17,11.3,22.7,849,75
condongcatur,18,7.1,13.7,532,75
condongcatur,19,7.2,14.2,435,60
condongcatur,20,5.8,11.4,393,68
condongcatur,21,4.3,8.4,310,72
condongcatur,22,2.7,4.9,160,59
condongcatur,23,2.3,4.3,112,49
jombor,0,1.6,2.1,31,20
jombor,1,1.7,3.6,19,11
jombor,2,1.5,3.4,19,13
jombor,3,1.1,6.9,12,11
jombor,4,1.2,3.6,11,9
jombor,5,1.2,2.1,46,37
jombor,6,1.9,3.7,86,45
jombor,7,2.8,3.5,147,52
jombor,8,4.0,4.8,227,57
jombor,9,3.8,6.3,265,70
jombor,10,5.1,8.5,364,71
jombor,11,6.2,8.8,416,67
jombor,12,6.7,11.4,407,61
jombor,13,7.8,10.6,489,63
jombor,14,7.0,10.2,455,65
jombor,15,7.0,9.5,442,63
jombor,16,8.4,11.9,538,64
jombor,17,5.9,8.3,439,75
jombor,18,3.9,5.3,266,69
jombor,19,3.2,5.3,222,69
jombor,20,3.3,5.9,209,64
jombor,21,2.8,5.1,165,60
jombor,22,1.8,2.3,76,42
jombor,23,1.8,2.6,41,23
kentungan,0,1.4,2.3,44,31
kentungan,1,1.2,3.1,26,21
kentungan,2,1.4,2.6,27,20
kentungan,3,1.3,3.6,18,14
kentungan,4,1.1,2.0,22,20
kentungan,5,1.6,2.3,39,25
kentungan,6,2.0,3.5,104,51
kentungan,7,4.2,6.0,268,64
kentungan,8,5.0,7.4,295,59
kentungan,9,4.5,7.1,348,77
kentungan,10,6.3,9.9,442,70
kentungan,11,6.8,10.9,580,85
kentungan,12,7.4,11.2,560,76
kentungan,13,8.8,13.3,663,75
kentungan,14,8.8,13.4,659,75
kentungan,15,8.1,12.7,653,81
kentungan,16,9.5,14.2,615,65
kentungan,17,6.2,9.7,510,82
kentungan,18,5.0,7.6,347,70
kentungan,19,4.1,7.1,280,69
kentungan,20,4.0,7.0,285,72
kentungan,21,3.3,7.2,210,63
kentungan,22,2.4,3.8,132,56
kentungan,23,2.0,2.7,79,40
kronggahan,0,1.7,3.1,15,9
kronggahan,1,1.0,1.9,8,8
kronggahan,2,1.2,3.0,10,8
kronggahan,3,1.2,2.0,12,10
kronggahan,4,1.2,2.7,11,9
kronggahan,5,1.3,1.8,25,19
kronggahan,6,1.8,2.8,49,28
kronggahan,7,2.8,3.8,161,58
kronggahan,8,3.3,4.5,194,58
kronggahan,9,3.8,5.7,198,52
kronggahan,10,4.2,6.6,293,69
kronggahan,11,5.0,8.7,322,64
kronggahan,12,4.6,7.7,285,62
kronggahan,13,5.8,10.2,356,61
kronggahan,14,5.8,9.5,360,62
kronggahan,15,5.8,9.1,355,61
kronggahan,16,6.6,10.0,402,61
kronggahan,17,4.7,7.3,340,73
kronggahan,18,3.0,4.4,186,61
kronggahan,19,2.8,4.7,164,58
kronggahan,20,2.3,4.1,112,48
kronggahan,21,2.3,3.6,114,50
kronggahan,22,1.5,2.4,44,29
kronggahan,23,1.3,1.7,28,22
monjali,0,1.6,2.6,53,34
monjali,1,1.9,4.4,38,20
monjali,2,1.8,3.7,34,19
monjali,3,1.4,3.0,29,21
monjali,4,1.4,3.5,24,17
monjali,5,1.6,2.1,63,39
monjali,6,2.5,4.1,129,52
monjali,7,6.5,12.0,411,63
monjali,8,7.3,13.1,487,67
monjali,9,6.5,12.7,509,78
monjali,10,9.2,18.6,764,83
monjali,11,9.9,20.1,841,85
monjali,12,10.3,21.3,810,79
monjali,13,13.5,27.4,1011,75
monjali,14,13.4,27.4,966,72
monjali,15,11.5,23.6,884,77
monjali,16,13.9,30.6,1002,72
monjali,17,10.8,22.7,889,82
monjali,18,7.7,14.2,561,73
monjali,19,6.7,12.8,456,68
monjali,20,5.8,10.2,418,72
monjali,21,4.6,8.8,314,69
monjali,22,2.8,4.9,162,57
monjali,23,2.1,3.1,75,35
upn,0,1.3,2.3,51,40
upn,1,1.2,2.8,27,22
upn,2,1.3,3.8,34,27
upn,3,1.4,2.8,23,16
upn,4,1.5,4.6,30,20
upn,5,1.6,2.5,67,42
upn,6,2.0,3.4,132,67
upn,7,4.3,10.3,368,85
upn,8,4.7,10.1,393,84
upn,9,5.8,12.3,473,81
upn,10,6.7,12.7,548,82
upn,11,6.9,14.1,618,89
upn,12,7.6,16.2,632,83
upn,13,8.8,18.9,698,79
upn,14,8.2,17.5,703,86
upn,15,10.0,20.0,707,71
upn,16,10.2,21.0,748,73
upn,17,7.6,14.9,612,81
upn,18,5.2,9.4,373,72
upn,19,4.5,8.9,274,61
upn,20,4.0,8.7,237,59
upn,21,3.8,7.6,233,62
upn,22,2.0,4.7,111,55
upn,23,1.7,3.8,75,45
