nearest_intersection,month,n_maids,n_pings
condongcatur,2021-10,18,89
condongcatur,2021-11,70,524
condongcatur,2021-12,37,216
condongcatur,2022-01,846,2780
condongcatur,2022-02,2015,8774
condongcatur,2022-03,53,407
condongcatur,2022-04,10,23
condongcatur,2022-05,1544,6640
condongcatur,2022-06,602,1969
jombor,2021-10,14,76
jombor,2021-11,37,257
jombor,2021-12,20,87
jombor,2022-01,458,1012
jombor,2022-02,1220,3429
jombor,2022-03,41,257
jombor,2022-04,9,19
jombor,2022-05,869,2235
jombor,2022-06,359,775
kentungan,2021-10,10,26
kentungan,2021-11,49,546
kentungan,2021-12,33,141
kentungan,2022-01,566,1471
kentungan,2022-02,1505,4249
kentungan,2022-03,41,371
kentungan,2022-04,12,21
kentungan,2022-05,1071,3547
kentungan,2022-06,451,1035
kronggahan,2021-10,10,34
kronggahan,2021-11,34,202
kronggahan,2021-12,22,71
kronggahan,2022-01,338,881
kronggahan,2022-02,968,2759
kronggahan,2022-03,30,118
kronggahan,2022-04,7,15
kronggahan,2022-05,631,1766
kronggahan,2022-06,240,580
monjali,2021-10,22,145
monjali,2021-11,69,614
monjali,2021-12,41,232
monjali,2022-01,803,2763
monjali,2022-02,2033,9141
monjali,2022-03,73,318
monjali,2022-04,15,37
monjali,2022-05,1538,6571
monjali,2022-06,581,1937
upn,2021-10,23,114
upn,2021-11,51,295
upn,2021-12,41,497
upn,2022-01,657,2673
upn,2022-02,1608,6380
upn,2022-03,54,926
upn,2022-04,14,111
upn,2022-05,1185,4612
upn,2022-06,451,1274
