nearest_intersection,hour_wib,is_weekday,avg_maids,n_days
condongcatur,0,false,2.2,9
condongcatur,1,false,1.2,5
condongcatur,2,false,1.4,9
condongcatur,3,false,1.0,5
condongcatur,4,false,1.6,5
condongcatur,5,false,2.1,10
condongcatur,6,false,2.5,14
condongcatur,7,false,4.5,17
condongcatur,8,false,5.4,21
condongcatur,9,false,6.4,19
condongcatur,10,false,10.6,18
condongcatur,11,false,12.3,25
condongcatur,12,false,12.0,21
condongcatur,13,false,13.4,25
condongcatur,14,false,13.9,21
condongcatur,15,false,10.8,27
condongcatur,16,false,17.2,18
condongcatur,17,false,12.0,22
condongcatur,18,false,8.8,21
condongcatur,19,false,9.3,18
condongcatur,20,false,7.9,22
condongcatur,21,false,4.8,26
condongcatur,22,false,2.9,19
condongcatur,23,false,2.8,12
condongcatur,0,true,1.6,34
condongcatur,1,true,1.5,21
condongcatur,2,true,1.3,16
condongcatur,3,true,1.2,10
condongcatur,4,true,1.1,17
condongcatur,5,true,1.4,21
condongcatur,6,true,2.6,48
condongcatur,7,true,6.0,52
condongcatur,8,true,6.5,51
condongcatur,9,true,6.7,54
condongcatur,10,true,8.6,59
condongcatur,11,true,10.5,61
condongcatur,12,true,10.0,57
condongcatur,13,true,12.4,54
condongcatur,14,true,12.5,53
condongcatur,15,true,13.2,48
condongcatur,16,true,11.5,53
condongcatur,17,true,11.0,53
condongcatur,18,true,6.4,54
condongcatur,19,true,6.4,42
condongcatur,20,true,4.8,46
condongcatur,21,true,4.0,46
condongcatur,22,true,2.6,40
condongcatur,23,true,2.1,37
jombor,0,false,1.8,9
jombor,1,false,2.0,1
jombor,2,false,1.0,2
jombor,3,false,1.2,4
jombor,4,false,1.2,4
jombor,5,false,1.5,13
jombor,6,false,1.9,13
jombor,7,false,2.5,13
jombor,8,false,3.3,15
jombor,9,false,4.4,16
jombor,10,false,4.6,19
jombor,11,false,7.2,20
jombor,12,false,8.8,18
jombor,13,false,8.6,19
jombor,14,false,7.1,22
jombor,15,false,7.9,18
jombor,16,false,9.8,17
jombor,17,false,5.6,23
jombor,18,false,4.5,18
jombor,19,false,3.6,21
jombor,20,false,3.4,21
jombor,21,false,3.3,19
jombor,22,false,2.5,13
jombor,23,false,2.0,6
jombor,0,true,1.4,11
jombor,1,true,1.7,10
jombor,2,true,1.5,11
jombor,3,true,1.0,7
jombor,4,true,1.2,5
jombor,5,true,1.1,24
jombor,6,true,1.9,32
jombor,7,true,2.9,39
jombor,8,true,4.2,42
jombor,9,true,3.6,54
jombor,10,true,5.3,52
jombor,11,true,5.8,47
jombor,12,true,5.8,43
jombor,13,true,7.4,44
jombor,14,true,7.0,43
jombor,15,true,6.7,45
jombor,16,true,7.9,47
jombor,17,true,6.0,52
jombor,18,true,3.6,51
jombor,19,true,3.1,48
jombor,20,true,3.2,43
jombor,21,true,2.5,41
jombor,22,true,1.5,29
jombor,23,true,1.7,17
kentungan,0,false,1.6,11
kentungan,1,false,1.3,7
kentungan,2,false,1.2,4
kentungan,3,false,1.4,7
kentungan,4,false,1.3,6
kentungan,5,false,1.8,12
kentungan,6,false,2.5,15
kentungan,7,false,4.5,13
kentungan,8,false,4.8,16
kentungan,9,false,4.8,20
kentungan,10,false,7.3,15
kentungan,11,false,7.7,26
kentungan,12,false,8.8,23
kentungan,13,false,9.0,24
kentungan,14,false,10.3,21
kentungan,15,false,7.7,27
kentungan,16,false,10.9,19
kentungan,17,false,6.2,26
kentungan,18,false,5.4,18
kentungan,19,false,4.1,21
kentungan,20,false,6.6,19
kentungan,21,false,3.6,18
kentungan,22,false,3.1,16
kentungan,23,false,1.6,7
kentungan,0,true,1.3,20
kentungan,1,true,1.2,14
kentungan,2,true,1.4,16
kentungan,3,true,1.1,7
kentungan,4,true,1.0,14
kentungan,5,true,1.3,13
kentungan,6,true,1.9,36
kentungan,7,true,4.1,51
kentungan,8,true,5.1,43
kentungan,9,true,4.4,57
