date,month,pings,maids,trips
2021-10-25,2021-10,12,5,5
2021-10-23,2021-10,22,4,5
2021-10-24,2021-10,27,7,8
2021-11-29,2021-11,109,16,25
2021-11-26,2021-11,164,25,43
2021-11-11,2021-11,169,17,26
2021-12-20,2021-12,77,14,24
2021-12-31,2021-12,93,12,25
2021-12-16,2021-12,104,14,22
2022-01-09,2022-01,63,10,15
2022-01-05,2022-01,93,15,22
2022-01-01,2022-01,95,11,29
2022-02-28,2022-02,51,10,10
2022-02-24,2022-02,93,11,22
2022-02-25,2022-02,167,17,27
2022-03-28,2022-03,58,10,14
2022-03-21,2022-03,68,9,11
2022-03-22,2022-03,71,12,19
2022-04-29,2022-04,3,1,1
2022-04-09,2022-04,4,1,1
2022-04-18,2022-04,4,1,1
2022-05-01,2022-05,6,1,3
2022-05-14,2022-05,29,6,7
2022-05-09,2022-05,34,7,9
2022-06-07,2022-06,19,2,5
2022-06-06,2022-06,48,8,12
2022-06-01,2022-06,367,56,65
