date,month,pings,maids,trips
2021-10-23,2021-10,22,4,5
2021-10-24,2021-10,27,7,8
2021-10-25,2021-10,12,5,5
2021-10-26,2021-10,41,7,7
2021-10-27,2021-10,283,16,22
2021-10-28,2021-10,223,23,36
2021-10-29,2021-10,362,19,34
2021-10-30,2021-10,271,22,35
2021-10-31,2021-10,405,27,46
2021-11-01,2021-11,425,18,45
2021-11-02,2021-11,488,17,50
2021-11-03,2021-11,278,19,26
2021-11-04,2021-11,216,19,29
2021-11-05,2021-11,333,16,31
2021-11-06,2021-11,281,17,25
2021-11-07,2021-11,205,16,19
2021-11-08,2021-11,232,22,33
2021-11-09,2021-11,312,22,33
2021-11-10,2021-11,245,14,21
2021-11-11,2021-11,169,17,26
2021-11-12,2021-11,193,21,43
2021-11-13,2021-11,203,20,39
2021-11-14,2021-11,182,15,27
2021-11-15,2021-11,503,23,54
2021-11-16,2021-11,258,23,52
2021-11-17,2021-11,351,30,48
2021-11-18,2021-11,377,22,43
2021-11-19,2021-11,258,21,37
2021-11-20,2021-11,320,26,42
2021-11-21,2021-11,316,23,38
2021-11-22,2021-11,317,31,49
2021-11-23,2021-11,255,26,40
2021-11-24,2021-11,365,30,53
2021-11-25,2021-11,481,27,52
2021-11-26,2021-11,164,25,43
2021-11-27,2021-11,265,28,41
2021-11-28,2021-11,238,23,38
2021-11-29,2021-11,109,16,25
2021-11-30,2021-11,305,20,34
2021-12-01,2021-12,105,12,17
2021-12-02,2021-12,189,24,37
2021-12-03,2021-12,130,14,21
2021-12-04,2021-12,110,14,22
2021-12-05,2021-12,116,9,16
2021-12-06,2021-12,216,16,33
2021-12-07,2021-12,195,26,36
2021-12-08,2021-12,272,19,33
2021-12-09,2021-12,143,20,32
2021-12-10,2021-12,211,15,22
2021-12-11,2021-12,196,11,14
2021-12-12,2021-12,108,16,24
2021-12-13,2021-12,294,16,42
2021-12-14,2021-12,119,17,30
2021-12-15,2021-12,189,17,38
2021-12-16,2021-12,104,14,22
2021-12-17,2021-12,168,19,23
2021-12-18,2021-12,209,11,24
2021-12-19,2021-12,125,18,26
2021-12-20,2021-12,77,14,24
2021-12-21,2021-12,178,18,24
2021-12-22,2021-12,290,17,33
2021-12-23,2021-12,190,17,35
2021-12-24,2021-12,228,18,45
2021-12-25,2021-12,179,19,28
2021-12-26,2021-12,300,27,36
2021-12-27,2021-12,213,19,26
2021-12-28,2021-12,164,20,32
2021-12-29,2021-12,165,18,27
2021-12-30,2021-12,356,19,37
2021-12-31,2021-12,93,12,25
2022-01-01,2022-01,95,11,29
2022-01-02,2022-01,106,16,28
2022-01-03,2022-01,124,17,27
2022-01-04,2022-01,189,16,37
2022-01-05,2022-01,93,15,22
2022-01-06,2022-01,146,16,21
2022-01-07,2022-01,219,22,33
2022-01-08,2022-01,305,19,34
2022-01-09,2022-01,63,10,15
2022-01-10,2022-01,259,14,26
2022-01-11,2022-01,252,23,46
2022-01-12,2022-01,278,20,32
2022-01-13,2022-01,309,19,46
2022-01-14,2022-01,136,11,21
2022-01-15,2022-01,244,15,31
