date,month,pings,maids,trips
2021-10-31,2021-10,405,27,46
2021-10-29,2021-10,362,19,34
2021-10-27,2021-10,283,16,22
2021-11-15,2021-11,503,23,54
2021-11-02,2021-11,488,17,50
2021-11-25,2021-11,481,27,52
2021-12-30,2021-12,356,19,37
2021-12-26,2021-12,300,27,36
2021-12-13,2021-12,294,16,42
2022-01-31,2022-01,2617,330,509
2022-01-29,2022-01,2523,370,529
2022-01-30,2022-01,2519,346,499
2022-02-06,2022-02,5595,610,921
2022-02-12,2022-02,4966,547,807
2022-02-11,2022-02,4846,526,775
2022-03-01,2022-03,343,19,55
2022-03-06,2022-03,334,27,42
2022-03-15,2022-03,312,16,34
2022-04-20,2022-04,49,6,8
2022-04-04,2022-04,48,6,12
2022-04-10,2022-04,41,3,8
2022-05-28,2022-05,6033,695,1057
2022-05-21,2022-05,4948,549,861
2022-05-27,2022-05,4885,586,944
2022-06-03,2022-06,6017,550,938
2022-06-04,2022-06,5960,599,1008
2022-06-02,2022-06,5447,564,915
