u,v,name,length,edge_key,ping_count
2365503289,1720135674,Ring Road Utara,183.572,2365503289_1720135674,35297
3661880070,1720197660,Jalan Siliwangi,81.145,3661880070_1720197660,22404
1720197655,1720197642,Jalan Siliwangi,301.818,1720197655_1720197642,12313
3663310584,3663310587,Jalan Padjajaran,451.468,3663310584_3663310587,11977
1721446174,1720135403,Ring Road Utara,60.973,1721446174_1720135403,9899
1720135403,3669800185,Ring Road Utara,88.725,1720135403_3669800185,9874
1460649276,8437850534,Jalan Kaliurang,68.285,1460649276_8437850534,7813
1720197855,7666545726,Ring Road Utara,56.983,1720197855_7666545726,7789
7654737759,3201666440,Jalan Padjajaran,93.073,7654737759_3201666440,7386
3663310587,1720135620,Jalan Padjajaran,255.533,3663310587_1720135620,6527
13737613592,1721446177,Jalan Padjajaran,61.651,13737613592_1721446177,6223
1370186967,4670241359,Jalan Kaliurang,59.461,1370186967_4670241359,6217
5558739360,9819785509,Jalan Padjajaran,57.788,5558739360_9819785509,6129
7663758547,8438810518,Jalan Kaliurang,30.013,7663758547_8438810518,5994
9819785506,1721446250,Jalan Padjajaran,71.027,9819785506_1721446250,5803
2463803227,3214994240,Jalan Kaliurang,70.151,2463803227_3214994240,5564
8446425686,13737613572,Jalan Padjajaran,57.931,8446425686_13737613572,5382
3835398632,5555924750,Jalan Affandi,66.371,3835398632_5555924750,5281
7666545726,9154908368,Ring Road Utara,44.115,7666545726_9154908368,5236
1390908532,5603935165,Jalan Seturan Raya,51.497,1390908532_5603935165,5022
5563375683,9570844387,Ring Road Utara,136.246,5563375683_9570844387,4919
2930657889,1720135653,Ring Road Utara,74.88,2930657889_1720135653,4880
1370186967,1795103041,Jalan Kaliurang,46.861,1370186967_1795103041,4843
3201666440,3663310584,Jalan Padjajaran,57.782,3201666440_3663310584,4758
3214994240,8438810518,Jalan Kaliurang,91.706,3214994240_8438810518,4740
5606290455,5610495431,Ring Road Utara,88.304,5606290455_5610495431,4722
3661572543,3724087915,Jalan Nyi Tjondro Loekito,63.927,3661572543_3724087915,4567
7663564671,1720197855,Ring Road Utara,21.366,7663564671_1720197855,4490
7643344065,1720272173,Jalan Anggajaya 1,63.675,7643344065_1720272173,4284
3309284061,3687534425,Jalan Magelang,109.469,3309284061_3687534425,4273
7642460134,3835398632,Jalan Affandi,65.79,7642460134_3835398632,4189
3662557432,9819785510,Jalan Seturan Raya,59.425,3662557432_9819785510,4183
13073657375,7666545724,Ring Road Utara,169.749,13073657375_7666545724,4107
5606640869,1720197652,Jalan Siliwangi,221.407,5606640869_1720197652,4086
8894062701,1720135480,Jalan Padjajaran,70.609,8894062701_1720135480,3865
1720197830,4854548334,Jalan Padjajaran,13.775,1720197830_4854548334,3802
7308203836,8451839000,Ring Road Utara,99.422,7308203836_8451839000,3799
7634566882,9446704633,Jalan Affandi,26.892,7634566882_9446704633,3571
7687120468,9022125172,Jalan Padjajaran,179.664,7687120468_9022125172,3485
1720135548,8451826123,Jalan Affandi,14.456,1720135548_8451826123,3416
1460656776,2882833292,Jalan Kaliurang,57.709,1460656776_2882833292,3391
1720135648,3662557435,Ring Road Utara,62.823,1720135648_3662557435,3373
2565952007,12545957376,Jalan Palagan Tentara Pelajar,35.138,2565952007_12545957376,3363
1390908532,3662557432,Jalan Seturan Raya,74.51,1390908532_3662557432,3328
9860343127,5234366131,Jalan Padjajaran,30.841,9860343127_5234366131,3192
7654737763,7654737759,Jalan Padjajaran,102.904,7654737763_7654737759,3187
2463803227,7290829524,Jalan Kaliurang,25.417,2463803227_7290829524,3178
1388953242,8437850534,Jalan Kaliurang,46.187,1388953242_8437850534,3153
5234366131,8451920544,Jalan Padjajaran,41.856,5234366131_8451920544,3147
1720135620,5558739360,Jalan Padjajaran,84.048,1720135620_5558739360,3128
7676359425,5608710341,Ring Road Utara,89.918,7676359425_5608710341,3112
11330787340,8744501735,Jalan Magelang,100.183,11330787340_8744501735,3078
1720135480,1720135474,Jalan Padjajaran,79.402,1720135480_1720135474,2983
9154908368,9154908364,Ring Road Utara,104.774,9154908368_9154908364,2900
