max_dist_m,candidate_point_edge_pairs,candidate_pair_dist_p00_m,candidate_pair_dist_p01_m,candidate_pair_dist_p05_m,candidate_pair_dist_p10_m,candidate_pair_dist_p25_m,candidate_pair_dist_p50_m,candidate_pair_dist_p75_m,candidate_pair_dist_p90_m,candidate_pair_dist_p95_m,candidate_pair_dist_p99_m,candidate_pair_dist_p100_m
10,1157053,0.000027914879304413445,0.20879140344495759,0.522291401233936,0.8641770577541019,2.737666926200951,6.694874262198183,8.383880048075678,8.745248842021178,9.38511058245104,9.89204565301889,9.999983587230444
20,2590223,0.000027914879304413445,0.35294688705924865,0.9616565166614413,2.4969821362445264,7.515902826976741,11.269510222865902,16.739195154167568,18.356152794257714,19.286932782066156,19.95863796595206,19.99990813762255
30,4160345,0.000027914879304413445,0.421237635737783,1.8255511111404137,4.651460501882053,8.74003669839295,16.873131815862102,22.548515121516914,27.11606489121094,28.68622528370311,29.728630563217454,29.999962388916046
40,6418945,0.000027914879304413445,0.5867507288163448,3.2401779073280546,7.44001639660241,14.240403482199126,23.183122401337908,32.046066257542236,38.5164039375816,39.332958459190685,39.90455473937295,39.999987531103045
50,9295392,0.000027914879304413445,0.8549662635719618,5.301248615078152,8.423143526014844,18.286345150113235,31.606035527714496,42.33525041282475,46.72909737562311,48.00416579258263,49.472206873775825,49.999985122908974
60,11685445,0.000027914878955925815,0.8641770482063293,6.764504051208499,10.081709861755371,21.682872772216797,38.51640319824219,47.84710693359375,54.69923400878906,57.78361892700195,59.41633865356446,59.99999237060547
70,14466961,0.000027914878955925815,1.2159216165542608,8.32247543334961,12.582709312438965,26.103696823120117,43.727195739746094,56.45781326293945,66.30352783203125,67.61376953125,69.4131851196289,69.99995422363281
80,17073528,0.000027914878955925815,1.459109902381897,8.383879661560059,15.163366222381594,30.399295806884766,47.04634094238281,65.37492179870605,73.36433410644531,77.26011657714844,79.3840845489502,79.9999771118164
90,20016699,0.000027914878955925815,1.6886495971679694,8.435729026794434,16.79456901550293,33.380353927612305,53.519371032714844,71.82242584228516,83.26689910888672,86.13543701171875,89.23504638671875,89.99999237060547
100,22878387,0.000027914878955925815,2.160113668441773,9.873292922973633,17.954002380371094,38.224365234375,58.95437240600586,80.29505157470703,92.21604919433594,95.66993713378906,99.1572657775879,99.9999771118164
