max_dist_m,input_pings,input_maids,rtree_pings_raw,rtree_maids_raw,rtree_ping_retention_raw_pct,rtree_maids_retention_raw_pct,pings_after_drop_singleton,maids_after_drop_singleton,ping_retention_after_drop_singleton_pct,maids_retention_after_drop_singleton_pct,singleton_pings_dropped,singleton_maids_dropped,avg_candidates_per_ping_raw,p50_candidates_per_ping_raw,p90_candidates_per_ping_raw,max_candidates_per_ping_raw,min_dist_p00_m_raw,min_dist_p01_m_raw,min_dist_p05_m_raw,min_dist_p10_m_raw,min_dist_p25_m_raw,min_dist_p50_m_raw,min_dist_p75_m_raw,min_dist_p90_m_raw,min_dist_p95_m_raw,min_dist_p99_m_raw,min_dist_p100_m_raw,min_dist_p00_m_after_drop_singleton,min_dist_p01_m_after_drop_singleton,min_dist_p05_m_after_drop_singleton,min_dist_p10_m_after_drop_singleton,min_dist_p25_m_after_drop_singleton,min_dist_p50_m_after_drop_singleton,min_dist_p75_m_after_drop_singleton,min_dist_p90_m_after_drop_singleton,min_dist_p95_m_after_drop_singleton,min_dist_p99_m_after_drop_singleton,min_dist_p100_m_after_drop_singleton
10,15386869,370778,703281,49995,4.570656967314143,13.483809719023244,694708,41422,4.5149406289219725,11.171644488076424,8573,8573,1.6452214690856144,1.0,2.0,10,0.000027914879304413445,0.12022177965571437,0.421237635737783,0.6166346164689224,1.4591098854958702,4.525674109467879,8.378428128073743,8.383880048075678,8.972021896335269,9.750035609796898,9.999878335983897,0.000027914879304413445,0.1198890448922662,0.421237635737783,0.6166346164689224,1.4591098854958702,4.48413177745115,8.378428128073743,8.383880048075678,8.97297811953113,9.749601136954464,9.999878335983897
20,15386869,370778,848564,54951,5.514858156003018,14.82045860326125,839304,45691,5.454676971643808,12.323007298167637,9260,9260,3.052478068831579,3.0,5.0,14,0.000027914879304413445,0.1496887034792219,0.421237635737783,0.7477091131720368,2.076785045191786,6.247364817763293,8.383880048075678,12.416660177966797,15.935951795693722,19.138066056790723,19.999895292397596,0.000027914879304413445,0.14928113895342748,0.421237635737783,0.7369117574739806,2.051148365617421,6.19349506642447,8.383880048075678,12.391326306807589,15.916750739064865,19.132684819614507,19.999895292397596
30,15386869,370778,957824,58793,6.22494413905779,15.856658162026873,947955,48924,6.160805034474525,13.194957629632825,9869,9869,4.343538061272217,4.0,8.0,30,0.000027914879304413445,0.17258810314810766,0.4260312896231921,0.8578692922452102,2.4969821362445264,7.618909030059288,10.504232136461843,21.234510018650454,25.247370692913194,29.17109799951454,29.999751340913196,0.000027914879304413445,0.17193979570991355,0.421237635737783,0.8578692922452102,2.482089930562509,7.560765590612609,10.501754810421957,21.21597230572534,25.237093884034742,29.17109799951454,29.999751340913196
40,15386869,370778,1101933,62538,7.161515445409979,16.86669651381689,1091423,52028,7.093210451067075,14.032116252852111,10510,10510,5.825168136356748,6.0,10.0,33,0.000027914879304413445,0.19972401986055074,0.5164973542482394,0.8578692922452102,2.879222162842085,8.378428128073743,17.825491835119873,32.89158751966597,37.41485900542084,39.52735787956411,39.999981526458406,0.000027914879304413445,0.19879462107041432,0.5164973542482394,0.8578692922452102,2.84341798288881,8.378428128073743,17.832332159713623,32.90863379656455,37.42464159974453,39.53018065612017,39.999981526458406
50,15386869,370778,1452115,81154,9.437365067578076,21.887490627815026,1439312,68351,9.354157756201083,18.434481010200173,12803,12803,6.401278135684846,6.0,11.0,35,0.000027914879304413445,0.2726299507697115,0.6166346164689224,1.3102850977971696,4.707285830054824,10.826614063165213,39.430233771982664,46.72909737562311,46.77234503948787,48.93472824072532,49.99955281053003,0.000027914879304413445,0.2715221265677952,0.6166346164689224,1.2938233937144505,4.69720628316856,10.826614063165213,39.40145050210117,46.72909737562311,46.77234503948787,48.93472824072532,49.99955281053003
60,15386869,370778,1571285,84395,10.211856616183578,22.76159858459779,1558139,71249,10.126420131347059,19.21608078149189,13146,13146,7.4368717323719125,7.0,13.0,37,0.000027914878955925815,0.29276221990585327,0.6831765055656432,1.4132599830627441,5.435068607330322,14.228477478027344,44.07456588745117,47.704837799072266,53.20711135864258,58.38279724121094,59.99991226196289,0.000027914878955925815,0.2915279799699784,0.6732848882675171,1.3950051546096804,5.390938997268677,14.228477478027344,44.03047561645508,47.704837799072266,53.204764938354394,58.37808654785146,59.99991226196289
70,15386869,370778,1672639,87057,10.87056112585348,23.47954840902103,1659255,73673,10.783577867596065,19.86984125271726,13384,13384,8.649183117217762,7.0,15.0,38,0.000027914878955925815,0.30462828278541565,0.7245097160339355,1.459109902381897,6.108886241912842,18.75094985961914,46.65175247192383,54.28578567504883,61.98219680786133,68.35353317260741,69.99987030029297,0.000027914878955925815,0.30462828278541565,0.7147339582443237,1.459109902381897,6.054897308349609,18.765544891357422,46.65175247192383,54.288272857666016,61.98219680786133,68.35317993164062,69.99987030029297
80,15386869,370778,1789608,89632,11.630748269839692,24.174034058115637,1775955,75979,11.542016767673788,20.49177675050839,13653,13653,9.540373087290625,8.0,16.0,39,0.000027914878955925815,0.3135580280423164,0.8268268823623657,1.459109902381897,6.810268521308899,24.129915237426758,46.77234649658203,64.22828674316406,72.59178161621094,78.80055732727051,79.99995422363281,0.000027914878955925815,0.3123036324977875,0.8162797927856447,1.459109902381897,6.787498474121094,24.15079116821289,46.77234649658203,64.24737243652349,72.59723663330078,78.80050125122071,79.99995422363281
90,15386869,370778,1894444,92117,12.312082464600174,24.84424642238752,1880532,78205,12.221667709005645,21.09213599512377,13912,13912,10.5660019509682,9.0,18.0,40,0.000027914878955925815,0.3225959241390228,0.8578692674636841,1.6325626373291016,7.48471474647522,29.07461929321289,47.78076457977295,72.96726455688476,80.51657104492188,87.57209777832031,89.99958801269531,0.000027914878955925815,0.3209043735265733,0.8578692674636841,1.617293667793274,7.429910659790039,29.11109733581543,47.82354736328125,72.97541046142578,80.51657104492188,87.56999206542969,89.99958801269531
100,15386869,370778,1993986,94204,12.95901069931771,25.407116927110025,1979887,80105,12.867380621749621,21.604572008047942,14099,14099,11.473694900566002,10.0,20.0,41,0.000027914878955925815,0.3276415169239044,0.8578692674636841,1.834649682044983,8.171598434448242,33.48316192626953,53.33280086517334,80.32989501953125,89.97459602355957,97.80658721923828,99.9997329711914,0.000027914878955925815,0.3276415169239044,0.8578692674636841,1.8179955959320073,8.117647647857666,33.520816802978516,53.377349853515625,80.32989501953125,89.98260498046875,97.80658721923828,99.9997329711914
