month,ping_bin,n_trips,n_pings_total,month_trips,pct
2021-10,1,0,0,198,0.0
2021-10,2,79,158,198,39.8989898989899
2021-10,3,22,66,198,11.11111111111111
2021-10,4–5,32,137,198,16.161616161616163
2021-10,6–10,30,212,198,15.151515151515152
2021-10,11–20,15,232,198,7.575757575757576
2021-10,21–50,17,507,198,8.585858585858585
2021-10,51–100,2,125,198,1.0101010101010102
2021-10,>100,1,209,198,0.5050505050505051
2021-11,1,0,0,1135,0.0
2021-11,2,427,854,1135,37.62114537444934
2021-11,3,101,303,1135,8.898678414096917
2021-11,4–5,219,935,1135,19.295154185022025
2021-11,6–10,210,1581,1135,18.502202643171806
2021-11,11–20,102,1509,1135,8.986784140969164
2021-11,21–50,54,1589,1135,4.757709251101322
2021-11,51–100,16,1098,1135,1.4096916299559472
2021-11,>100,6,775,1135,0.5286343612334802
2021-12,1,0,0,882,0.0
2021-12,2,380,760,882,43.08390022675737
2021-12,3,69,207,882,7.8231292517006805
2021-12,4–5,156,662,882,17.687074829931973
2021-12,6–10,157,1149,882,17.800453514739228
2021-12,11–20,71,1066,882,8.049886621315192
2021-12,21–50,43,1328,882,4.875283446712018
2021-12,51–100,5,332,882,0.5668934240362812
2021-12,>100,1,128,882,0.11337868480725624
2022-01,1,0,0,6006,0.0
2022-01,2,2205,4410,6006,36.71328671328671
2022-01,3,1063,3189,6006,17.6989676989677
2022-01,4–5,1273,5568,6006,21.195471195471196
2022-01,6–10,1010,7562,6006,16.816516816516817
2022-01,11–20,348,4817,6006,5.794205794205794
2022-01,21–50,98,2752,6006,1.6317016317016315
2022-01,51–100,9,565,6006,0.14985014985014986
2022-01,>100,0,0,6006,0.0
2022-02,1,0,0,14919,0.0
2022-02,2,4338,8676,14919,29.07701588578323
2022-02,3,2629,7887,14919,17.621824519069644
2022-02,4–5,3156,13906,14919,21.154232857430124
2022-02,6–10,3143,23534,14919,21.067095649842482
2022-02,11–20,1333,18570,14919,8.934915208794155
2022-02,21–50,285,8101,14919,1.910315704805952
2022-02,51–100,34,2331,14919,0.22789731215228903
2022-02,>100,1,102,14919,0.006702862122126148
2022-03,1,0,0,955,0.0
2022-03,2,425,850,955,44.50261780104712
2022-03,3,49,147,955,5.130890052356021
2022-03,4–5,187,771,955,19.581151832460733
2022-03,6–10,166,1223,955,17.382198952879584
2022-03,11–20,84,1221,955,8.795811518324607
2022-03,21–50,38,1154,955,3.9790575916230364
2022-03,51–100,6,388,955,0.6282722513089005
2022-03,>100,0,0,955,0.0
2022-04,1,0,0,142,0.0
2022-04,2,67,134,142,47.183098591549296
2022-04,3,26,78,142,18.30985915492958
2022-04,4–5,30,134,142,21.12676056338028
2022-04,6–10,12,82,142,8.450704225352112
2022-04,11–20,6,83,142,4.225352112676056
2022-04,21–50,1,24,142,0.7042253521126761
2022-04,51–100,0,0,142,0.0
2022-04,>100,0,0,142,0.0
2022-05,1,0,0,11552,0.0
2022-05,2,3984,7968,11552,34.48753462603878
2022-05,3,2123,6369,11552,18.377770083102494
2022-05,4–5,2237,9837,11552,19.36461218836565
2022-05,6–10,2056,15408,11552,17.797783933518005
2022-05,11–20,930,13055,11552,8.050554016620499
2022-05,21–50,208,5582,11552,1.8005540166204987
2022-05,51–100,12,776,11552,0.10387811634349031
2022-05,>100,2,218,11552,0.01731301939058172
2022-06,1,0,0,3184,0.0
2022-06,2,949,1898,3184,29.805276381909547
2022-06,3,543,1629,3184,17.054020100502512
2022-06,4–5,656,2864,3184,20.603015075376884
2022-06,6–10,622,4708,3184,19.535175879396984
2022-06,11–20,315,4485,3184,9.893216080402011
2022-06,21–50,88,2468,3184,2.763819095477387
2022-06,51–100,8,568,3184,0.25125628140703515
2022-06,>100,3,393,3184,0.09422110552763818
