intersection,movement,count
condongcatur,u_turn,3765
condongcatur,arriving_from_west,1947
condongcatur,departing_west,1779
condongcatur,departing_east,956
condongcatur,arriving_from_east,692
jombor,u_turn,1632
jombor,departing_east,1496
jombor,arriving_from_east,925
jombor,departing_west,384
jombor,arriving_from_west,338
kentungan,u_turn,2341
kentungan,departing_east,893
kentungan,departing_west,884
kentungan,arriving_from_west,815
kentungan,arriving_from_east,691
kronggahan,u_turn,1419
kronggahan,departing_east,1321
kronggahan,arriving_from_east,1299
monjali,u_turn,3438
monjali,arriving_from_east,1931
monjali,departing_east,1740
monjali,arriving_from_west,1031
monjali,departing_west,823
upn,u_turn,4228
upn,arriving_from_west,2275
upn,departing_west,1668
